a52dec 0.8.0-3
aalib 1.4rc5-19
abseil-cpp 20260526.0-2
accountsservice 26.27.3-1
acl 2.4.0-1
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
aha 0.5.1-3
alsa-card-profiles 1:1.6.8-1
alsa-lib 1.2.16.1-1
alsa-plugins 1:1.2.12-6
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.16.1-1
amd-ucode 20260810-1
aom 3.14.1-1
appstream 1.1.6-1
appstream-qt 1.1.6-1
archlinux-appstream-data 20260722-1
archlinux-keyring 20260727-1
at-spi2-core 2.60.6-1
attica 6.28.0-1
attr 2.6.0-1
audit 4.2.1-1
aurorae 6.7.4-1
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc5-1
baloo 6.28.0-1
base 3-3
base-devel 1-2
bash 5.3.15-1
bc 1.08.2-1
binutils 2.47-4
bison 3.8.2-8
blas 3.12.1-2
blosc 1.21.6-2
bluedevil 1:6.7.4-1
bluez 5.87-2
bluez-libs 5.87-2
bluez-qt 6.28.0-1
bluez-utils 5.87-2
bolt 0.9.11-2
boost-libs 1.91.0-2
breeze 6.7.4-1
breeze-cursors 6.7.4-1
breeze-gtk 6.7.4-1
breeze-icons 6.28.0-1
brotli 1.2.0-1
btrfs-progs 7.1-1
bubblewrap 0.11.2-1
bzip2 1.0.8-6
c-ares 1.34.8-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.126-1
ca-certificates-utils 20240618-1
cabextract 1.11-3
cairo 1.18.4-1
cblas 3.12.1-2
cdparanoia 10.2-10
cifs-utils 7.5-1
clinfo 3.0.25.02.14-1
cmake 4.4.2-1
code 1.131.0-1
coin 1:4.0.10-1
compiler-rt 22.1.8-1
composefs 1.0.8-1
confuse 3.3-5
convertlit 1.8-13
coreutils 9.11-2
cpio 2.15-3
cppdap 1.58.0-3
cryptsetup 2.8.7-1
curl 8.21.0-1
dav1d 1.5.4-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-units 37-3
dconf 0.49.0-1
ddcutil 2.2.7-1
debugedit 5.3-2
default-cursors 3-1
deno 2.9.5-1
desktop-file-utils 0.28-1
device-mapper 2.03.42-1
diffutils 3.12-2
discount 3.0.1.3-1
discover 6.7.4-1
