Module                  Size  Used by
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
snd_seq               135168  7 snd_seq_dummy
mt7925e                28672  0
mt7925_common         151552  1 mt7925e
mt792x_lib             77824  2 mt7925e,mt7925_common
mt76_connac_lib       106496  3 mt792x_lib,mt7925e,mt7925_common
mt76                  163840  4 mt792x_lib,mt7925e,mt76_connac_lib,mt7925_common
mac80211             1798144  4 mt792x_lib,mt76,mt76_connac_lib,mt7925_common
r8169                 163840  0
hid_logitech_hidpp     77824  0
realtek                65536  1
phy_package            16384  1 realtek
mdio_devres            12288  1 r8169
cfg80211             1568768  4 mt76,mac80211,mt76_connac_lib,mt7925_common
igc                   221184  0
libphy                229376  4 r8169,mdio_devres,realtek,phy_package
ptp                    57344  1 igc
libarc4                12288  1 mac80211
mdio_bus               28672  4 r8169,libphy,realtek,phy_package
pps_core               32768  1 ptp
vfat                   28672  1
fat                   114688  1 vfat
mousedev               28672  0
amd_atl                61440  1
intel_rapl_msr         24576  0
intel_rapl_common      53248  1 intel_rapl_msr
ucsi_acpi              12288  0
typec_ucsi             81920  1 ucsi_acpi
roles                  16384  1 typec_ucsi
typec                 135168  1 typec_ucsi
snd_hda_codec_nvhdmi    16384  1
snd_hda_codec_atihdmi    20480  1
snd_hda_codec_hdmi     61440  2 snd_hda_codec_nvhdmi,snd_hda_codec_atihdmi
eeepc_wmi              12288  0
kvm_amd               262144  0
asus_wmi              118784  1 eeepc_wmi
sparse_keymap          12288  1 asus_wmi
snd_hda_intel          73728  2
kvm                  1490944  1 kvm_amd
snd_usb_audio         626688  4
snd_hda_codec         229376  4 snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec_nvhdmi,snd_hda_codec_atihdmi
snd_usbmidi_lib        53248  1 snd_usb_audio
snd_hda_core          151552  4 snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,snd_hda_codec_atihdmi
irqbypass              16384  1 kvm
snd_ump                40960  1 snd_usb_audio
spd5118                16384  0
snd_intel_dspcfg       49152  1 snd_hda_intel
snd_rawmidi            57344  2 snd_usbmidi_lib,snd_ump
snd_intel_sdw_acpi     16384  1 snd_intel_dspcfg
aesni_intel           106496  0
sp5100_tco             20480  0
snd_seq_device         16384  3 snd_seq,snd_ump,snd_rawmidi
snd_hwdep              24576  2 snd_usb_audio,snd_hda_codec
gf128mul               12288  1 aesni_intel
rapl                   20480  0
rfkill                 45056  7 mt7925e,asus_wmi,cfg80211
wmi_bmof               12288  0
snd_pcm               221184  5 snd_hda_codec_hdmi,snd_hda_intel,snd_usb_audio,snd_hda_codec,snd_hda_core
i2c_piix4              40960  0
pcspkr                 12288  0
k10temp                12288  0
snd_timer              57344  3 snd_seq,snd_hrtimer,snd_pcm
i2c_smbus              20480  1 i2c_piix4
joydev                 28672  0
snd                   159744  26 snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_usb_audio,snd_usbmidi_lib,snd_hda_codec,snd_timer,snd_ump,snd_pcm,snd_rawmidi
thunderbolt           602112  1 typec
gpio_amdpt             16384  0
ccp                   225280  1 kvm_amd
hid_logitech_dj        45056  0
acpi_pad              184320  0
soundcore              16384  1 snd
gpio_generic           24576  1 gpio_amdpt
mc                     98304  1 snd_usb_audio
mac_hid                12288  0
ntsync                 20480  914
i2c_dev                28672  0
crypto_user            16384  0
ses                    20480  0
enclosure              24576  1 ses
scsi_transport_sas     57344  1 ses
dm_mod                237568  3
amdgpu              17432576  6
drm_buddy              12288  1 amdgpu
amdxcp                 12288  1 amdgpu
i2c_algo_bit           24576  1 amdgpu
drm_exec               12288  1 amdgpu
nvme                   77824  2
drm_panel_backlight_quirks    12288  1 amdgpu
gpu_sched              77824  1 amdgpu
nvme_core             282624  3 nvme
uas                    32768  0
drm_suballoc_helper    20480  1 amdgpu
usb_storage            94208  1 uas
drm_display_helper    303104  1 amdgpu
nvme_keyring           20480  1 nvme_core
nvidia_drm            167936  143
cec                   102400  2 drm_display_helper,amdgpu
nvme_auth              32768  1 nvme_core
nvidia_uvm           2449408  4
nvidia_modeset       1921024  27 nvidia_drm
nvidia              18194432  685 nvidia_uvm,nvidia_modeset
drm_ttm_helper         20480  3 amdgpu,nvidia_drm
ttm                   151552  2 amdgpu,drm_ttm_helper
video                  81920  3 asus_wmi,amdgpu,nvidia_modeset
wmi                    40960  3 video,asus_wmi,wmi_bmof
aead                   16384  3 nvidia,mac80211,aesni_intel
